Country;Category
Afghanistan;Non-EU
Argentina;Non-EU
Bangladesh;Non-EU
Belgium;EU
Bosnia and Herzegovina;Non-EU
Bulgaria;EU
Cambodia;Non-EU
Cameroon;Non-EU
Canada;Non-EU
China;Non-EU
Colombia;Non-EU
Croatia;EU
Denmark;Denmark
Eritrea;Non-EU
France;EU
Germany;EU
Ghana;Non-EU
Greece;EU
Iceland;Non-EU
India;Non-EU
Indonesia;Non-EU
Iraq;Non-EU
Italy;EU
Japan;Non-EU
Latvia;EU
Lebanon;Non-EU
Lithuania;EU
Macedonia;Non-EU
Morocco;Non-EU
Nepal;Non-EU
Netherlands;EU
Nigeria;Non-EU
Pakistan;Non-EU
Philippines;Non-EU
Poland;EU
Romania;EU
Russia;Non-EU
Somalia;Non-EU
South Africa;Non-EU
Spain;EU
Stateless;Non-EU
Sweden;EU
Switzerland;Non-EU
Syria;Non-EU
Thailand;Non-EU
Turkey;Non-EU
Ukraine;Non-EU
United Kingdom;Non-EU
USA;Non-EU
Vietnam;Non-EU
Yugoslavia;Non-EU
